Season,Team,Home,Opponent,Minutes_Played,Shot_Attempts,Shot_Proportion,Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Game_Result,Point_Differential
2006/07,CLE,Home,WAS,40:38:00,11,0.458,10,5,0,2,5,2,26,Win,3
2006/07,CLE,Away,SAS,41:53:00,14,0.538,10,4,1,1,2,3,35,Win,7
2006/07,CLE,Away,CHA,38:06:00,3,0.231,9,7,0,1,2,0,16,Loss,-4
2006/07,CLE,Home,ATL,47:17:00,13,0.5,7,6,2,1,2,1,34,Loss,-9
2006/07,CLE,Home,CHI,37:50:00,6,0.462,4,12,3,2,3,0,19,Win,19
2006/07,CLE,Home,BOS,43:32:00,9,0.529,8,5,3,0,2,4,38,Win,1
2006/07,CLE,Away,NYK,41:20:00,10,0.526,4,6,2,1,3,2,29,Win,6
2006/07,CLE,Home,POR,38:54:00,10,0.667,7,7,2,1,4,2,32,Win,13
2006/07,CLE,Home,MIN,40:30:00,12,0.5,9,6,1,2,4,1,37,Win,16
2006/07,CLE,Away,WAS,33:20:00,8,0.4,5,4,2,0,3,2,20,Loss,-12
2006/07,CLE,Home,MEM,41:59:00,7,0.333,1,9,3,1,3,1,15,Win,3
2006/07,CLE,Away,TOR,39:55:00,11,0.458,10,8,4,0,2,1,30,Loss,-8
2006/07,CLE,Away,IND,42:26:00,6,0.429,7,5,1,0,3,6,30,Loss,-10
2006/07,CLE,Home,PHI,40:50:00,10,0.5,4,11,0,1,7,4,25,Win,13
2006/07,CLE,Home,NYK,41:11:00,10,0.455,7,6,0,1,5,1,27,Loss,-3
2006/07,CLE,Away,ATL,42:55:00,12,0.522,7,8,3,2,4,4,31,Win,11
2006/07,CLE,Away,HOU,35:44:00,7,0.318,5,4,0,0,3,2,21,Loss,-18
2006/07,CLE,Home,TOR,40:30:00,11,0.611,6,10,1,0,4,1,26,Win,4
2006/07,CLE,Home,IND,31:52:00,11,0.688,7,6,1,1,3,0,27,Win,32
2006/07,CLE,Away,NOK,41:36:00,7,0.389,7,6,4,0,3,1,15,Loss,-6
2006/07,CLE,Home,CHA,41:37:00,6,0.353,8,7,1,1,6,1,22,Win,3
2006/07,CLE,Home,SEA,33:37:00,9,0.643,9,7,1,0,4,3,22,Win,22
2006/07,CLE,Away,ORL,41:03:00,10,0.526,5,5,0,1,4,4,29,Loss,-7
2006/07,CLE,Away,NJN,40:11:00,10,0.455,1,8,2,1,3,4,37,Loss,-2
2006/07,CLE,Home,DET,43:00:00,9,0.45,10,5,2,0,1,1,26,Loss,-16
2006/07,CLE,Home,ORL,42:54:00,13,0.619,7,1,0,0,7,1,32,Win,3
2006/07,CLE,Away,ATL,39:31:00,10,0.4,9,3,1,2,1,1,27,Win,13
2006/07,CLE,Home,MIL,44:01:00,11,0.524,4,5,1,1,3,5,32,Win,10
2006/07,CLE,Away,CHI,40:19:00,15,0.577,9,3,1,0,5,4,33,Loss,-7
2006/07,CLE,Home,SAS,40:14:00,7,0.412,5,5,2,0,3,1,19,Win,4
2006/07,CLE,Away,BOS,44:47:00,11,0.55,6,4,3,1,3,0,32,Win,3
2006/07,CLE,Away,MIL,42:50:00,3,0.231,5,9,1,0,2,1,8,Win,9
2006/07,CLE,Home,NJN,44:00:00,9,0.429,13,4,3,3,5,4,19,Win,5
2006/07,CLE,Away,SAC,43:25:00,14,0.538,4,7,2,1,3,3,34,Win,10
2006/07,CLE,Away,PHO,38:49:00,15,0.536,6,6,1,0,5,2,34,Loss,-19
2006/07,CLE,Away,LAC,42:02:00,10,0.435,6,6,1,0,2,4,28,Win,12
2006/07,CLE,Away,SEA,43:34:00,8,0.381,7,8,2,1,4,0,30,Loss,-5
2006/07,CLE,Away,POR,35:07:00,8,0.381,6,2,1,0,4,0,23,Loss,-18
